PID,group,task,trial,cued,response
R_1E1hgLCsWPNdlG8,Control,forced choice,5,attention,3.5999999999999996
R_1E1hgLCsWPNdlG8,Control,forced choice,6,gratitude,1.1999999999999993
R_3hsciovcqHyz7Vc,Control,forced choice,1,sadness,6
R_3hsciovcqHyz7Vc,Control,forced choice,2,love,-5.2
R_3hsciovcqHyz7Vc,Control,forced choice,3,happiness,-0.8000000000000007
R_3hsciovcqHyz7Vc,Control,forced choice,4,attention,2.4000000000000004
R_3hsciovcqHyz7Vc,Control,forced choice,5,gratitude,4.199999999999999
R_3hsciovcqHyz7Vc,Control,forced choice,6,calming,6.800000000000001
R_0MSjHjrXqGqbQn7,Control,free text,1,gratitude,4.199999999999999
R_0MSjHjrXqGqbQn7,Control,free text,2,calming,8.2
R_0MSjHjrXqGqbQn7,Control,free text,3,love,-4.6
R_0MSjHjrXqGqbQn7,Control,free text,4,sadness,-8
R_0MSjHjrXqGqbQn7,Control,free text,5,attention,2.5999999999999996
R_0MSjHjrXqGqbQn7,Control,free text,6,happiness,-0.8000000000000007
R_2CEcEfV1HUsheRJ,ASD,forced choice,1,happiness,2.8000000000000007
R_2CEcEfV1HUsheRJ,ASD,forced choice,2,attention,1.4000000000000004
R_2CEcEfV1HUsheRJ,ASD,forced choice,3,calming,10
R_2CEcEfV1HUsheRJ,ASD,forced choice,4,gratitude,-3.8
R_2CEcEfV1HUsheRJ,ASD,forced choice,5,love,-10
R_2CEcEfV1HUsheRJ,ASD,forced choice,6,sadness,10
R_OOvavv4lZZZ87DP,Control,forced choice,1,love,10
R_OOvavv4lZZZ87DP,Control,forced choice,2,sadness,10
R_OOvavv4lZZZ87DP,Control,forced choice,3,calming,-4.8
R_OOvavv4lZZZ87DP,Control,forced choice,4,gratitude,-5
R_OOvavv4lZZZ87DP,Control,forced choice,5,attention,-5
R_OOvavv4lZZZ87DP,Control,forced choice,6,happiness,1.1999999999999993
R_11ZzJT4kXwtiqcN,Control,free text,1,happiness,-6.4
R_11ZzJT4kXwtiqcN,Control,free text,2,sadness,3.8000000000000007
R_11ZzJT4kXwtiqcN,Control,free text,3,gratitude,-1.5999999999999996
R_11ZzJT4kXwtiqcN,Control,free text,4,attention,-7
R_11ZzJT4kXwtiqcN,Control,free text,5,calming,7.199999999999999
R_11ZzJT4kXwtiqcN,Control,free text,6,love,-10
R_3CHR7gv0IOivBct,Control,free text,1,gratitude,4
R_3CHR7gv0IOivBct,Control,free text,2,sadness,6.600000000000001
R_3CHR7gv0IOivBct,Control,free text,3,attention,0
R_3CHR7gv0IOivBct,Control,free text,4,happiness,-3.5999999999999996
R_3CHR7gv0IOivBct,Control,free text,5,calming,8.600000000000001
R_3CHR7gv0IOivBct,Control,free text,6,love,-7.6
R_3EMSvXAT1ZriJYe,Control,forced choice,1,gratitude,4.6
R_3EMSvXAT1ZriJYe,Control,forced choice,2,attention,-4
R_3EMSvXAT1ZriJYe,Control,forced choice,3,happiness,-1
R_3EMSvXAT1ZriJYe,Control,forced choice,4,calming,8.600000000000001
R_3EMSvXAT1ZriJYe,Control,forced choice,5,love,10
R_3EMSvXAT1ZriJYe,Control,forced choice,6,sadness,4.4
R_2CB85AMCpgsbVWY,Control,forced choice,1,gratitude,1.4000000000000004
R_2CB85AMCpgsbVWY,Control,forced choice,2,attention,0.1999999999999993
R_2CB85AMCpgsbVWY,Control,forced choice,3,happiness,2.4000000000000004
R_2CB85AMCpgsbVWY,Control,forced choice,4,love,10
R_2CB85AMCpgsbVWY,Control,forced choice,5,calming,9.8
R_2CB85AMCpgsbVWY,Control,forced choice,6,sadness,3
R_2xwMnj2MJDb09Ah,Control,free text,1,happiness,-8.6
R_2xwMnj2MJDb09Ah,Control,free text,2,sadness,7
R_2xwMnj2MJDb09Ah,Control,free text,3,gratitude,-3.4000000000000004
R_2xwMnj2MJDb09Ah,Control,free text,4,calming,10
R_2xwMnj2MJDb09Ah,Control,free text,5,love,7.600000000000001
R_2xwMnj2MJDb09Ah,Control,free text,6,attention,-9.8
R_Z2hwxB0KG3pZycV,Control,forced choice,1,happiness,1
R_Z2hwxB0KG3pZycV,Control,forced choice,2,attention,1
R_Z2hwxB0KG3pZycV,Control,forced choice,3,sadness,1
R_Z2hwxB0KG3pZycV,Control,forced choice,4,gratitude,1
R_Z2hwxB0KG3pZycV,Control,forced choice,5,calming,3.1999999999999993
R_Z2hwxB0KG3pZycV,Control,forced choice,6,love,3.4000000000000004
R_11ay77avichjVEe,ASD,free text,1,calming,-7.4
R_11ay77avichjVEe,ASD,free text,2,love,-4.4
R_11ay77avichjVEe,ASD,free text,3,sadness,-9
R_11ay77avichjVEe,ASD,free text,4,happiness,-2
R_11ay77avichjVEe,ASD,free text,5,gratitude,3.4000000000000004
R_11ay77avichjVEe,ASD,free text,6,attention,1.1999999999999993
R_DSOkAzM0gHFMbrb,Control,forced choice,1,attention,2
R_DSOkAzM0gHFMbrb,Control,forced choice,2,love,-4.8
R_DSOkAzM0gHFMbrb,Control,forced choice,3,calming,5.800000000000001
R_DSOkAzM0gHFMbrb,Control,forced choice,4,gratitude,-1.4000000000000004
R_DSOkAzM0gHFMbrb,Control,forced choice,5,happiness,-6.2
R_DSOkAzM0gHFMbrb,Control,forced choice,6,sadness,1.5999999999999996
R_332xQPQ4R0p6fDi,Control,free text,1,gratitude,4.800000000000001
R_332xQPQ4R0p6fDi,Control,free text,2,happiness,9.2
R_332xQPQ4R0p6fDi,Control,free text,3,attention,4.6
R_332xQPQ4R0p6fDi,Control,free text,4,calming,1.1999999999999993
R_332xQPQ4R0p6fDi,Control,free text,5,sadness,1.1999999999999993
R_332xQPQ4R0p6fDi,Control,free text,6,love,7.199999999999999
R_12bWn129WCtDnR4,ASD,forced choice,1,gratitude,4.4
R_12bWn129WCtDnR4,ASD,forced choice,2,calming,3
R_12bWn129WCtDnR4,ASD,forced choice,3,happiness,-10
R_12bWn129WCtDnR4,ASD,forced choice,4,attention,0.1999999999999993
R_12bWn129WCtDnR4,ASD,forced choice,5,sadness,1.4000000000000004
R_12bWn129WCtDnR4,ASD,forced choice,6,love,-10
R_3j9D3GClAgCmMro,Control,free text,1,sadness,-1.8000000000000007
R_3j9D3GClAgCmMro,Control,free text,2,love,10
R_3j9D3GClAgCmMro,Control,free text,3,gratitude,6.600000000000001
R_3j9D3GClAgCmMro,Control,free text,4,calming,10
R_3j9D3GClAgCmMro,Control,free text,5,attention,-9.2
R_3j9D3GClAgCmMro,Control,free text,6,happiness,2.5999999999999996
R_Re5zGBlOqvLdX5D,Control,forced choice,1,attention,4.800000000000001
R_Re5zGBlOqvLdX5D,Control,forced choice,2,gratitude,-2
R_Re5zGBlOqvLdX5D,Control,forced choice,3,love,5.199999999999999
R_Re5zGBlOqvLdX5D,Control,forced choice,4,happiness,7
R_Re5zGBlOqvLdX5D,Control,forced choice,5,calming,3
R_Re5zGBlOqvLdX5D,Control,forced choice,6,sadness,-7.6
R_2tfHWX6jKUCGfhU,Control,forced choice,1,gratitude,-1.1999999999999993
R_2tfHWX6jKUCGfhU,Control,forced choice,2,happiness,3.4000000000000004
R_2tfHWX6jKUCGfhU,Control,forced choice,3,love,8.399999999999999
R_2tfHWX6jKUCGfhU,Control,forced choice,4,attention,0.1999999999999993
R_2tfHWX6jKUCGfhU,Control,forced choice,5,sadness,-4.4
R_2tfHWX6jKUCGfhU,Control,forced choice,6,calming,-2
R_1jv6QYc5bKIV3TU,Control,free text,1,love,-5.6
R_1jv6QYc5bKIV3TU,Control,free text,2,happiness,-6
R_1jv6QYc5bKIV3TU,Control,free text,3,attention,0.1999999999999993
R_1jv6QYc5bKIV3TU,Control,free text,4,calming,-10
R_1jv6QYc5bKIV3TU,Control,free text,5,sadness,2.5999999999999996
R_1jv6QYc5bKIV3TU,Control,free text,6,gratitude,-4.2
R_3lRiWXHGoht96yw,Control,free text,1,love,-3
R_3lRiWXHGoht96yw,Control,free text,2,happiness,-4.2
R_3lRiWXHGoht96yw,Control,free text,3,sadness,6.399999999999999
R_3lRiWXHGoht96yw,Control,free text,4,calming,4
R_3lRiWXHGoht96yw,Control,free text,5,gratitude,3
R_3lRiWXHGoht96yw,Control,free text,6,attention,-3.4000000000000004
R_1mz96W0RjzImNcM,Control,free text,1,attention,-2.8
R_1mz96W0RjzImNcM,Control,free text,2,gratitude,10
R_1mz96W0RjzImNcM,Control,free text,3,calming,10
R_1mz96W0RjzImNcM,Control,free text,4,happiness,-7
R_1mz96W0RjzImNcM,Control,free text,5,love,10
R_1mz96W0RjzImNcM,Control,free text,6,sadness,-2.8
R_3g6PVaYmtBq0oZ3,Control,forced choice,1,calming,-10
R_3g6PVaYmtBq0oZ3,Control,forced choice,2,gratitude,-10
R_3g6PVaYmtBq0oZ3,Control,forced choice,3,attention,-10
R_3g6PVaYmtBq0oZ3,Control,forced choice,4,happiness,-10
R_3g6PVaYmtBq0oZ3,Control,forced choice,5,sadness,-10
R_3g6PVaYmtBq0oZ3,Control,forced choice,6,love,-7.6
R_294ghCYZa5fDh5p,Control,free text,1,happiness,0.5999999999999996
R_294ghCYZa5fDh5p,Control,free text,2,gratitude,7
R_294ghCYZa5fDh5p,Control,free text,3,attention,-3.4000000000000004
R_294ghCYZa5fDh5p,Control,free text,4,love,10
R_294ghCYZa5fDh5p,Control,free text,5,calming,7.399999999999999
R_294ghCYZa5fDh5p,Control,free text,6,sadness,4
R_3n6nxQ3KruWH8PX,Control,forced choice,1,happiness,-3.8
R_3n6nxQ3KruWH8PX,Control,forced choice,2,sadness,1.5999999999999996
R_3n6nxQ3KruWH8PX,Control,forced choice,3,gratitude,-7.6
R_3n6nxQ3KruWH8PX,Control,forced choice,4,calming,-3.2
R_3n6nxQ3KruWH8PX,Control,forced choice,5,attention,-1.4000000000000004
R_3n6nxQ3KruWH8PX,Control,forced choice,6,love,2.8000000000000007
R_YS37ZXqdSx3kKOJ,Control,forced choice,1,gratitude,-2.8
R_YS37ZXqdSx3kKOJ,Control,forced choice,2,attention,-3
R_YS37ZXqdSx3kKOJ,Control,forced choice,3,calming,-5.6
R_YS37ZXqdSx3kKOJ,Control,forced choice,4,sadness,9.2
R_YS37ZXqdSx3kKOJ,Control,forced choice,5,love,-10
R_YS37ZXqdSx3kKOJ,Control,forced choice,6,happiness,3.4000000000000004
R_ZEU7MICncl7ZxTP,Control,free text,1,attention,3.8000000000000007
R_ZEU7MICncl7ZxTP,Control,free text,2,happiness,7.399999999999999
R_ZEU7MICncl7ZxTP,Control,free text,3,gratitude,8.2
R_ZEU7MICncl7ZxTP,Control,free text,4,sadness,-2.2
R_ZEU7MICncl7ZxTP,Control,free text,5,calming,10
R_ZEU7MICncl7ZxTP,Control,free text,6,love,7.399999999999999
R_2CrFpwUVkj0e8I1,ASD,forced choice,1,sadness,3
R_2CrFpwUVkj0e8I1,ASD,forced choice,2,attention,-9
R_2CrFpwUVkj0e8I1,ASD,forced choice,3,love,-9
R_2CrFpwUVkj0e8I1,ASD,forced choice,4,gratitude,-8.4
R_2CrFpwUVkj0e8I1,ASD,forced choice,5,calming,8.2
R_2CrFpwUVkj0e8I1,ASD,forced choice,6,happiness,-8.6
R_2who6Qy9Oo0roix,Control,forced choice,1,attention,-0.8000000000000007
R_2who6Qy9Oo0roix,Control,forced choice,2,calming,-4.8
R_2who6Qy9Oo0roix,Control,forced choice,3,love,-10
R_2who6Qy9Oo0roix,Control,forced choice,4,gratitude,2.1999999999999993
R_2who6Qy9Oo0roix,Control,forced choice,5,sadness,4.800000000000001
R_2who6Qy9Oo0roix,Control,forced choice,6,happiness,-5.4
R_3s6Mw0WTJvfUif3,Control,free text,1,love,10
R_3s6Mw0WTJvfUif3,Control,free text,2,attention,4.199999999999999
R_3s6Mw0WTJvfUif3,Control,free text,3,sadness,9
R_3s6Mw0WTJvfUif3,Control,free text,4,calming,10
R_3s6Mw0WTJvfUif3,Control,free text,5,gratitude,5.199999999999999
R_3s6Mw0WTJvfUif3,Control,free text,6,happiness,1.1999999999999993
R_3MiARCAT2fla3fL,ASD,free text,1,sadness,-3.5999999999999996
