experiment,PID,group,data,Label,Metric,statistic,bias,std.error,conf.low,conf.high
felt touch,sub27,Control,,love,Precision,1,0,0,NA,NA
felt touch,sub27,Control,,love,Specificity,1,0,0,NA,NA
felt touch,sub27,Control,,love,F1,1,0,0,NA,NA
felt touch,sub27,Control,,love,F1chance,0.2857142857142857,-0.0032332388572942072,0.0725361389757176,0.15384615384615385,0.4210526315789474
felt touch,sub27,Control,,happiness,Recall,0.9,0.002034312174753361,0.09870913217528567,0.6666666666666666,1
felt touch,sub27,Control,,happiness,Precision,1,0,0,NA,NA
felt touch,sub27,Control,,happiness,Specificity,0.9803921568627451,5.386148663614199e-4,0.01866515273696505,0.9387755102040817,1
felt touch,sub27,Control,,happiness,F1,0.9473684210526316,-0.0018860644381802905,0.05828370919069032,0.8,1
felt touch,sub27,Control,,happiness,F1chance,0.2857142857142857,-0.0032886826492800614,0.07078326859043077,0.15384615384615385,0.4210526315789474
felt touch,sub27,Control,,calming,Recall,0.9,7.341389862287606e-4,0.09403922238662894,0.7,1
felt touch,sub27,Control,,calming,Precision,0.6923076923076923,-1.074080718044268e-5,0.12964415804403598,0.4169691079857801,0.9284318402702996
felt touch,sub27,Control,,calming,Specificity,0.9787234042553191,-7.160529797489712e-5,0.02040142281621663,0.9333333333333333,1
felt touch,sub27,Control,,calming,F1,0.7826086956521738,-0.00783382215287165,0.09818723205092167,0.5454545454545455,0.9444444444444444
felt touch,sub27,Control,,calming,F1chance,0.2857142857142857,-0.00311520750851918,0.07070153881691937,0.15384615384615385,0.4210526315789474
felt touch,sub27,Control,,sadness,Recall,0.7,-0.002074326950139649,0.15037898879984418,0.36363636363636365,1
felt touch,sub27,Control,,sadness,Precision,0.875,-0.0029828537475595773,0.12333111116553859,0.6,1
felt touch,sub27,Control,,sadness,Specificity,0.9423076923076923,1.4177441820273362e-4,0.03243129717731714,0.8654491420521185,1
felt touch,sub27,Control,,sadness,F1,0.7777777777777777,-0.012823482706961542,0.11890128265354247,0.4615384615384615,0.9523809523809523
