experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,asd04,ASD,3,forced choice,25,sadness,sadness
felt touch,asd04,ASD,3,forced choice,26,gratitude,attention
felt touch,asd04,ASD,3,forced choice,27,love,love
felt touch,asd04,ASD,3,forced choice,28,calming,gratitude
felt touch,asd04,ASD,3,forced choice,29,attention,attention
felt touch,asd04,ASD,3,forced choice,30,happiness,happiness
felt touch,asd04,ASD,3,forced choice,31,calming,gratitude
felt touch,asd04,ASD,3,forced choice,32,love,love
felt touch,asd04,ASD,3,forced choice,33,attention,attention
felt touch,asd04,ASD,3,forced choice,34,gratitude,attention
felt touch,asd04,ASD,3,forced choice,35,happiness,happiness
felt touch,asd04,ASD,3,forced choice,36,sadness,sadness
felt touch,asd04,ASD,3,forced choice,37,sadness,gratitude
felt touch,asd04,ASD,3,forced choice,38,love,love
felt touch,asd04,ASD,3,forced choice,39,gratitude,attention
felt touch,asd04,ASD,3,forced choice,40,happiness,happiness
felt touch,asd04,ASD,3,forced choice,41,attention,attention
felt touch,asd04,ASD,3,forced choice,42,calming,love
felt touch,asd04,ASD,3,forced choice,43,happiness,happiness
felt touch,asd04,ASD,3,forced choice,44,attention,attention
felt touch,asd04,ASD,3,forced choice,45,love,love
felt touch,asd04,ASD,3,forced choice,46,gratitude,attention
felt touch,asd04,ASD,3,forced choice,47,sadness,sadness
felt touch,asd04,ASD,3,forced choice,48,calming,love
felt touch,asd04,ASD,3,forced choice,49,gratitude,attention
felt touch,asd04,ASD,3,forced choice,50,sadness,gratitude
felt touch,asd04,ASD,3,forced choice,51,calming,gratitude
felt touch,asd04,ASD,3,forced choice,52,happiness,happiness
felt touch,asd04,ASD,3,forced choice,53,love,love
felt touch,asd04,ASD,3,forced choice,54,attention,attention
felt touch,asd04,ASD,3,forced choice,55,sadness,sadness
felt touch,asd04,ASD,3,forced choice,56,attention,attention
felt touch,asd04,ASD,3,forced choice,57,love,love
felt touch,asd04,ASD,3,forced choice,58,happiness,happiness
felt touch,asd04,ASD,3,forced choice,59,gratitude,attention
