experiment,PID,group,Experimenter,task,trial,cued,response
felt touch,sub03,Control,3,forced choice,3,love,5.6
felt touch,sub03,Control,3,forced choice,4,calming,4.800000000000001
felt touch,sub03,Control,3,forced choice,5,gratitude,-0.1999999999999993
felt touch,sub03,Control,3,forced choice,6,attention,-3
felt touch,sub04,Control,3,forced choice,1,attention,-4.6
felt touch,sub04,Control,3,forced choice,2,calming,4.800000000000001
felt touch,sub04,Control,3,forced choice,3,gratitude,5.199999999999999
felt touch,sub04,Control,3,forced choice,4,sadness,4.9
felt touch,sub04,Control,3,forced choice,5,love,7.800000000000001
felt touch,sub04,Control,3,forced choice,6,happiness,-1
felt touch,sub05,Control,3,forced choice,1,calming,5.4
felt touch,sub05,Control,3,forced choice,2,attention,-4.4
felt touch,sub05,Control,3,forced choice,3,gratitude,-1.5
felt touch,sub05,Control,3,forced choice,4,happiness,2.9000000000000004
felt touch,sub05,Control,3,forced choice,5,love,8.7
felt touch,sub05,Control,3,forced choice,6,sadness,5.699999999999999
felt touch,sub06,Control,3,forced choice,1,gratitude,5.4
felt touch,sub06,Control,3,forced choice,2,attention,-7.3
felt touch,sub06,Control,3,forced choice,3,love,6.100000000000001
felt touch,sub06,Control,3,forced choice,4,sadness,9.5
felt touch,sub06,Control,3,forced choice,5,happiness,8.2
felt touch,sub06,Control,3,forced choice,6,calming,-0.1999999999999993
felt touch,sub07,Control,3,forced choice,1,sadness,5.5
felt touch,sub07,Control,3,forced choice,2,happiness,1.6999999999999993
felt touch,sub07,Control,3,forced choice,3,attention,-1
felt touch,sub07,Control,3,forced choice,4,calming,7.800000000000001
felt touch,sub07,Control,3,forced choice,5,love,9.5
felt touch,sub07,Control,3,forced choice,6,gratitude,1.5999999999999996
felt touch,sub08,Control,3,forced choice,1,love,-1.3000000000000007
felt touch,sub08,Control,3,forced choice,2,calming,5.300000000000001
felt touch,sub08,Control,3,forced choice,3,sadness,-2
felt touch,sub08,Control,3,forced choice,4,gratitude,-0.09999999999999964
felt touch,sub08,Control,3,forced choice,5,happiness,1.8000000000000007
felt touch,sub08,Control,3,forced choice,6,attention,0.9000000000000004
felt touch,sub09,Control,3,forced choice,1,happiness,-0.8000000000000007
felt touch,sub09,Control,3,forced choice,2,sadness,-3.0999999999999996
felt touch,sub09,Control,3,forced choice,3,love,9.1
felt touch,sub09,Control,3,forced choice,4,calming,5.6
felt touch,sub09,Control,3,forced choice,5,attention,-1.4000000000000004
felt touch,sub09,Control,3,forced choice,6,gratitude,-1.1999999999999993
felt touch,sub10,Control,3,forced choice,1,gratitude,7.300000000000001
felt touch,sub10,Control,3,forced choice,2,calming,8.399999999999999
felt touch,sub10,Control,3,forced choice,3,attention,5.1
felt touch,sub10,Control,3,forced choice,4,sadness,6.100000000000001
felt touch,sub10,Control,3,forced choice,5,happiness,4.1
felt touch,sub10,Control,3,forced choice,6,love,2.4000000000000004
felt touch,sub11,Control,3,forced choice,1,calming,3.8000000000000007
felt touch,sub11,Control,3,forced choice,2,love,9.9
felt touch,sub11,Control,3,forced choice,3,gratitude,1
felt touch,sub11,Control,3,forced choice,4,sadness,-0.09999999999999964
felt touch,sub11,Control,3,forced choice,5,happiness,4.1
felt touch,sub11,Control,3,forced choice,6,attention,-0.6999999999999993
felt touch,sub12,Control,3,forced choice,1,gratitude,6
felt touch,sub12,Control,3,forced choice,2,calming,6.300000000000001
felt touch,sub12,Control,3,forced choice,3,sadness,0.9000000000000004
felt touch,sub12,Control,3,forced choice,4,attention,-1.5
felt touch,sub12,Control,3,forced choice,5,happiness,1.9000000000000004
felt touch,sub12,Control,3,forced choice,6,love,9.2
felt touch,sub13,Control,3,forced choice,1,attention,-6.9
felt touch,sub13,Control,3,forced choice,2,love,1.5999999999999996
felt touch,sub13,Control,3,forced choice,3,calming,9
felt touch,sub13,Control,3,forced choice,4,gratitude,-3.9
felt touch,sub13,Control,3,forced choice,5,happiness,-0.9000000000000004
felt touch,sub13,Control,3,forced choice,6,sadness,10
felt touch,sub14,Control,3,forced choice,1,happiness,9.9
felt touch,sub14,Control,3,forced choice,2,attention,9.3
felt touch,sub14,Control,3,forced choice,3,love,10
felt touch,sub14,Control,3,forced choice,4,sadness,10
felt touch,sub14,Control,3,forced choice,5,gratitude,8.600000000000001
felt touch,sub14,Control,3,forced choice,6,calming,8.7
felt touch,sub16,Control,3,forced choice,1,sadness,4.4
felt touch,sub16,Control,3,forced choice,2,happiness,2.6999999999999993
felt touch,sub16,Control,3,forced choice,3,love,9.5
felt touch,sub16,Control,3,forced choice,4,calming,8.100000000000001
felt touch,sub16,Control,3,forced choice,5,gratitude,6.300000000000001
felt touch,sub16,Control,3,forced choice,6,attention,-0.3000000000000007
felt touch,sub17,Control,3,forced choice,1,calming,7.699999999999999
felt touch,sub17,Control,3,forced choice,2,love,7.399999999999999
felt touch,sub17,Control,3,forced choice,3,sadness,5.4
felt touch,sub17,Control,3,forced choice,4,gratitude,-0.3000000000000007
felt touch,sub17,Control,3,forced choice,5,attention,1.0999999999999996
felt touch,sub17,Control,3,forced choice,6,happiness,6.600000000000001
felt touch,sub18,Control,3,forced choice,1,happiness,5.6
felt touch,sub18,Control,3,forced choice,2,gratitude,8.399999999999999
felt touch,sub18,Control,3,forced choice,3,attention,4.6
felt touch,sub18,Control,3,forced choice,4,sadness,9.4
felt touch,sub18,Control,3,forced choice,5,calming,6.100000000000001
felt touch,sub18,Control,3,forced choice,6,love,8.5
felt touch,sub19,Control,3,forced choice,1,happiness,-7.2
felt touch,sub19,Control,3,forced choice,2,calming,-0.9000000000000004
felt touch,sub19,Control,3,forced choice,3,sadness,1.9000000000000004
felt touch,sub19,Control,3,forced choice,4,attention,-8.2
felt touch,sub19,Control,3,forced choice,5,love,3.5
felt touch,sub19,Control,3,forced choice,6,gratitude,0.4000000000000003
felt touch,sub20,Control,3,forced choice,1,love,10
felt touch,sub20,Control,3,forced choice,2,attention,10
felt touch,sub20,Control,3,forced choice,3,gratitude,10
felt touch,sub20,Control,3,forced choice,4,calming,9.8
felt touch,sub20,Control,3,forced choice,5,sadness,-9.9
felt touch,sub20,Control,3,forced choice,6,happiness,10
felt touch,sub21,Control,3,forced choice,1,attention,0
felt touch,sub21,Control,3,forced choice,2,gratitude,-1.1999999999999993
felt touch,sub21,Control,3,forced choice,3,sadness,3.6999999999999993
felt touch,sub21,Control,3,forced choice,4,calming,3.5
felt touch,sub21,Control,3,forced choice,5,happiness,1.4000000000000004
felt touch,sub21,Control,3,forced choice,6,love,2
felt touch,sub22,Control,3,forced choice,1,attention,3.3000000000000007
felt touch,sub22,Control,3,forced choice,2,happiness,4.1
felt touch,sub22,Control,3,forced choice,3,sadness,8.5
felt touch,sub22,Control,3,forced choice,4,love,1
felt touch,sub22,Control,3,forced choice,5,calming,5.300000000000001
felt touch,sub22,Control,3,forced choice,6,gratitude,0.1999999999999993
felt touch,sub23,Control,3,forced choice,1,happiness,4.1
felt touch,sub23,Control,3,forced choice,2,love,9.5
felt touch,sub23,Control,3,forced choice,3,sadness,1.3000000000000007
felt touch,sub23,Control,3,forced choice,4,gratitude,-5.8
felt touch,sub23,Control,3,forced choice,5,calming,-0.5
felt touch,sub23,Control,3,forced choice,6,attention,2
felt touch,sub24,Control,3,forced choice,1,sadness,10
felt touch,sub24,Control,3,forced choice,2,gratitude,5.9
felt touch,sub24,Control,3,forced choice,3,attention,0.4000000000000003
felt touch,sub24,Control,3,forced choice,4,calming,9.8
felt touch,sub24,Control,3,forced choice,5,happiness,7.699999999999999
felt touch,sub24,Control,3,forced choice,6,love,10
felt touch,sub25,Control,3,forced choice,1,happiness,2.5999999999999996
felt touch,sub25,Control,3,forced choice,2,calming,10
felt touch,sub25,Control,3,forced choice,3,gratitude,1.5999999999999996
felt touch,sub25,Control,3,forced choice,4,attention,0
felt touch,sub25,Control,3,forced choice,5,love,9.3
felt touch,sub25,Control,3,forced choice,6,sadness,9
felt touch,sub26,Control,3,forced choice,1,love,10
felt touch,sub26,Control,3,forced choice,2,calming,8.899999999999999
felt touch,sub26,Control,3,forced choice,3,gratitude,-2.0999999999999996
felt touch,sub26,Control,3,forced choice,4,attention,-2.0999999999999996
felt touch,sub26,Control,3,forced choice,5,happiness,0.9000000000000004
felt touch,sub26,Control,3,forced choice,6,sadness,5.9
felt touch,sub27,Control,3,forced choice,1,attention,2.3000000000000007
felt touch,sub27,Control,3,forced choice,2,happiness,-5.1
felt touch,sub27,Control,3,forced choice,3,calming,8.3
felt touch,sub27,Control,3,forced choice,4,love,10
felt touch,sub27,Control,3,forced choice,5,sadness,4.300000000000001
felt touch,sub27,Control,3,forced choice,6,gratitude,1.6999999999999993
felt touch,sub28,Control,3,forced choice,1,attention,0.3000000000000007
felt touch,sub28,Control,3,forced choice,2,calming,8.5
felt touch,sub28,Control,3,forced choice,3,gratitude,8
felt touch,sub28,Control,3,forced choice,4,happiness,6.800000000000001
felt touch,sub28,Control,3,forced choice,5,love,6.100000000000001
felt touch,sub28,Control,3,forced choice,6,sadness,7.600000000000001
felt touch,sub29,Control,1,forced choice,1,love,4
felt touch,sub29,Control,1,forced choice,2,happiness,0.5
felt touch,sub29,Control,1,forced choice,3,calming,8.5
felt touch,sub29,Control,1,forced choice,4,attention,-5.7
felt touch,sub29,Control,1,forced choice,5,sadness,3.9
felt touch,sub29,Control,1,forced choice,6,gratitude,0
felt touch,sub30,Control,1,forced choice,1,love,7.199999999999999
felt touch,sub30,Control,1,forced choice,2,attention,-0.9000000000000004
felt touch,sub30,Control,1,forced choice,3,sadness,1
felt touch,sub30,Control,1,forced choice,4,gratitude,-5.1
felt touch,sub30,Control,1,forced choice,5,happiness,1.9000000000000004
felt touch,sub30,Control,1,forced choice,6,calming,4.9
felt touch,sub31,Control,1,forced choice,1,gratitude,2.5999999999999996
felt touch,sub31,Control,1,forced choice,2,attention,0.09999999999999964
felt touch,sub31,Control,1,forced choice,3,sadness,10
felt touch,sub31,Control,1,forced choice,4,happiness,8.600000000000001
felt touch,sub31,Control,1,forced choice,5,love,8.899999999999999
felt touch,sub31,Control,1,forced choice,6,calming,0.3000000000000007
felt touch,sub32,Control,1,forced choice,1,attention,5
felt touch,sub32,Control,1,forced choice,2,love,8.100000000000001
felt touch,sub32,Control,1,forced choice,3,calming,9.1
felt touch,sub32,Control,1,forced choice,4,gratitude,5.1
felt touch,sub32,Control,1,forced choice,5,sadness,7.5
felt touch,sub32,Control,1,forced choice,6,happiness,1.5
