trial,cued,response,group,PID
41,calming,calming,ASD,asd24
42,attention,attention,ASD,asd24
43,love,love,ASD,asd24
44,gratitude,gratitude,ASD,asd24
45,sadness,sadness,ASD,asd24
46,calming,calming,ASD,asd24
47,happiness,other,ASD,asd24
48,attention,attention,ASD,asd24
49,gratitude,gratitude,ASD,asd24
50,love,love,ASD,asd24
51,happiness,other,ASD,asd24
52,attention,attention,ASD,asd24
53,sadness,calming,ASD,asd24
54,calming,calming,ASD,asd24
55,attention,attention,ASD,asd24
56,calming,calming,ASD,asd24
57,love,love,ASD,asd24
58,gratitude,gratitude,ASD,asd24
59,sadness,sadness,ASD,asd24
60,happiness,other,ASD,asd24
1,attention,attention,ASD,asd25
2,gratitude,love,ASD,asd25
3,sadness,sadness,ASD,asd25
4,love,happiness,ASD,asd25
5,happiness,attention,ASD,asd25
6,calming,calming,ASD,asd25
7,gratitude,other,ASD,asd25
8,calming,calming,ASD,asd25
9,sadness,other,ASD,asd25
10,attention,attention,ASD,asd25
11,happiness,happiness,ASD,asd25
12,love,calming,ASD,asd25
13,love,sadness,ASD,asd25
14,sadness,gratitude,ASD,asd25
15,attention,attention,ASD,asd25
16,calming,calming,ASD,asd25
17,happiness,happiness,ASD,asd25
18,gratitude,gratitude,ASD,asd25
19,happiness,happiness,ASD,asd25
20,sadness,sadness,ASD,asd25
21,attention,attention,ASD,asd25
22,love,love,ASD,asd25
23,calming,calming,ASD,asd25
24,gratitude,gratitude,ASD,asd25
25,love,love,ASD,asd25
26,calming,calming,ASD,asd25
27,gratitude,gratitude,ASD,asd25
28,happiness,happiness,ASD,asd25
29,sadness,other,ASD,asd25
30,attention,attention,ASD,asd25
31,gratitude,gratitude,ASD,asd25
32,love,love,ASD,asd25
33,calming,calming,ASD,asd25
34,sadness,other,ASD,asd25
35,attention,attention,ASD,asd25
36,happiness,happiness,ASD,asd25
37,gratitude,gratitude,ASD,asd25
38,calming,calming,ASD,asd25
39,attention,attention,ASD,asd25
40,sadness,sadness,ASD,asd25
41,happiness,happiness,ASD,asd25
42,love,love,ASD,asd25
43,love,love,ASD,asd25
44,sadness,sadness,ASD,asd25
45,attention,attention,ASD,asd25
46,calming,calming,ASD,asd25
47,happiness,happiness,ASD,asd25
48,gratitude,gratitude,ASD,asd25
49,happiness,happiness,ASD,asd25
50,calming,calming,ASD,asd25
51,sadness,sadness,ASD,asd25
52,gratitude,gratitude,ASD,asd25
53,attention,attention,ASD,asd25
54,love,love,ASD,asd25
55,happiness,happiness,ASD,asd25
56,love,love,ASD,asd25
57,sadness,sadness,ASD,asd25
58,calming,calming,ASD,asd25
59,attention,attention,ASD,asd25
60,gratitude,gratitude,ASD,asd25
1,love,attention,ASD,asd26
2,calming,calming,ASD,asd26
3,gratitude,attention,ASD,asd26
4,sadness,gratitude,ASD,asd26
5,attention,attention,ASD,asd26
6,happiness,love,ASD,asd26
7,gratitude,happiness,ASD,asd26
8,calming,love,ASD,asd26
9,happiness,happiness,ASD,asd26
10,attention,attention,ASD,asd26
11,sadness,calming,ASD,asd26
12,love,sadness,ASD,asd26
13,happiness,happiness,ASD,asd26
14,sadness,sadness,ASD,asd26
15,calming,sadness,ASD,asd26
16,gratitude,gratitude,ASD,asd26
17,love,calming,ASD,asd26
18,attention,attention,ASD,asd26
19,gratitude,gratitude,ASD,asd26
20,love,love,ASD,asd26
21,calming,love,ASD,asd26
22,sadness,sadness,ASD,asd26
23,happiness,other,ASD,asd26
24,attention,attention,ASD,asd26
25,calming,love,ASD,asd26
26,love,calming,ASD,asd26
27,happiness,happiness,ASD,asd26
28,attention,attention,ASD,asd26
29,gratitude,other,ASD,asd26
30,sadness,sadness,ASD,asd26
31,love,sadness,ASD,asd26
32,attention,attention,ASD,asd26
33,sadness,sadness,ASD,asd26
34,gratitude,gratitude,ASD,asd26
35,calming,calming,ASD,asd26
36,happiness,other,ASD,asd26
37,sadness,calming,ASD,asd26
38,gratitude,other,ASD,asd26
39,happiness,other,ASD,asd26
40,calming,love,ASD,asd26
41,attention,other,ASD,asd26
42,love,love,ASD,asd26
43,calming,calming,ASD,asd26
44,attention,attention,ASD,asd26
45,gratitude,gratitude,ASD,asd26
46,happiness,happiness,ASD,asd26
47,sadness,calming,ASD,asd26
48,love,love,ASD,asd26
49,attention,attention,ASD,asd26
50,sadness,sadness,ASD,asd26
51,gratitude,gratitude,ASD,asd26
52,love,calming,ASD,asd26
53,calming,calming,ASD,asd26
54,happiness,happiness,ASD,asd26
55,calming,love,ASD,asd26
56,love,calming,ASD,asd26
57,attention,attention,ASD,asd26
58,happiness,other,ASD,asd26
59,gratitude,attention,ASD,asd26
60,sadness,sadness,ASD,asd26
1,sadness,calming,ASD,asd27
2,attention,attention,ASD,asd27
3,love,calming,ASD,asd27
4,happiness,happiness,ASD,asd27
5,calming,gratitude,ASD,asd27
6,gratitude,attention,ASD,asd27
7,attention,attention,ASD,asd27
8,gratitude,attention,ASD,asd27
9,happiness,happiness,ASD,asd27
10,sadness,sadness,ASD,asd27
11,love,love,ASD,asd27
12,calming,gratitude,ASD,asd27
13,happiness,happiness,ASD,asd27
14,love,calming,ASD,asd27
15,attention,attention,ASD,asd27
16,calming,calming,ASD,asd27
17,sadness,calming,ASD,asd27
18,gratitude,gratitude,ASD,asd27
19,sadness,love,ASD,asd27
20,happiness,happiness,ASD,asd27
21,calming,calming,ASD,asd27
22,attention,attention,ASD,asd27
23,gratitude,gratitude,ASD,asd27
24,love,love,ASD,asd27
25,calming,calming,ASD,asd27
26,attention,attention,ASD,asd27
27,happiness,happiness,ASD,asd27
28,love,love,ASD,asd27
29,gratitude,gratitude,ASD,asd27
30,sadness,sadness,ASD,asd27
31,love,love,ASD,asd27
32,gratitude,gratitude,ASD,asd27
33,attention,attention,ASD,asd27
34,happiness,happiness,ASD,asd27
35,calming,calming,ASD,asd27
36,sadness,sadness,ASD,asd27
37,happiness,happiness,ASD,asd27
38,love,love,ASD,asd27
39,sadness,calming,ASD,asd27
40,gratitude,gratitude,ASD,asd27
41,attention,attention,ASD,asd27
42,calming,calming,ASD,asd27
43,happiness,happiness,ASD,asd27
44,sadness,sadness,ASD,asd27
45,calming,calming,ASD,asd27
46,attention,attention,ASD,asd27
47,love,love,ASD,asd27
48,gratitude,gratitude,ASD,asd27
49,attention,attention,ASD,asd27
50,calming,calming,ASD,asd27
51,love,love,ASD,asd27
52,gratitude,gratitude,ASD,asd27
53,happiness,happiness,ASD,asd27
54,sadness,sadness,ASD,asd27
55,love,love,ASD,asd27
56,sadness,sadness,ASD,asd27
